,Site,Mean_lag_days
0,125th St. Pier,-8 days +21:45:00.000000000
1,79th St. mid-channel,40 days 06:07:39.574468085
2,Albany Rowing Dock,54 days 15:31:45.882352941
3,Annesville Creek,51 days 08:40:00.000000000
4,Athens,35 days 02:10:54.545454545
5,Beacon Harbor,-21 days +17:20:00.000000000
6,Bethlehem Launch Ramp,34 days 02:49:24.705882353
7,"Castle Point, NJ",18 days 22:42:09.729729729
8,Castleton,14 days 19:38:10.909090909
9,Catskill Creek- East End,-38 days +00:00:00.000000000
10,Catskill Creek- First Bridge,-12 days +02:40:00.000000000
11,Catskill Launch Ramp,-40 days +02:44:34.285714286
12,Cedar Pond Brook,24 days 19:44:00.000000000
13,Coeymans Landing,23 days 04:14:07.058823529
14,Cold Spring Harbor,-23 days +23:16:21.818181819
15,Congress St. Bridge- Troy,51 days 15:20:00.000000000
16,Coxsackie Waterfront Park,-1 days +06:32:43.636363637
17,Croton Point Beach,56 days 04:41:44.347826087
18,Dunn Memorial Bridge- Albany,3 days 07:20:00.000000000
19,Dyckman Street Beach,10 days 14:00:00.000000000
20,East River mid-channel at 23rd St.,0 days 17:30:00.000000000
21,East River mid-channel at Roosevelt Is.,38 days 04:41:44.347826087
22,Emeline Beach- Haverstraw,1 days 20:00:00.000000000
23,Esopus Creek Entrance,0 days 16:58:32.195121951
24,Esopus Creek West,-18 days +13:48:00.000000000
25,Fort Montgomery,30 days 04:56:28.235294117
26,Furnace Brook,-50 days +08:52:10.434782609
27,GW Bridge mid-channel,21 days 13:47:14.042553191
28,Gay's Point mid-channel,9 days 22:35:17.647058823
29,Gowanus Canal,-35 days +00:41:08.571428572
30,Harlem River- Washington Bridge,-17 days +02:40:00.000000000
31,Harlem River- Willis Ave. Bridge,-16 days +01:36:00.000000000
32,Haverstraw Bay mid-channel,29 days 20:52:10.434782608
33,Hudson Landing Ramp,-32 days +13:01:42.857142857
34,Hudson River above Troy Lock,19 days 05:29:08.571428571
35,Hudson above Mohawk River,-37 days +00:00:00.000000000
36,Inbocht Bay,-36 days +23:17:38.823529412
37,Irvington Beach,-4 days +16:56:28.235294118
38,Island Creek/Normans Kill,-45 days +14:32:43.636363637
39,Kingsland Pt. Park- Pocantico River,27 days 06:36:00.000000000
40,Kingston Point Beach,9 days 18:08:46.829268292
41,Kingston STP Outfall,-3 days +18:56:50.526315790
42,Little Stony Point,40 days 12:00:00.000000000
43,Malden Launch Ramp,-43 days +21:52:56.470588236
44,Marlboro Landing,34 days 10:10:54.545454545
45,Mohawk River at Waterford,-21 days +12:21:49.090909091
46,Newburgh Launch Ramp,5 days 22:40:00.000000000
47,Newtown Creek- Dutch Kills,-20 days +06:58:54.545454546
48,Newtown Creek- Metropolitan Ave. Bridge,26 days 10:54:32.727272727
49,Norrie Point Yacht Basin,12 days 09:52:56.470588235
50,Norrie Point mid-channel,-9 days +22:35:17.647058824
51,North River STP at 145th,7 days 14:56:00.000000000
52,Nyack Launch Ramp,-21 days +22:46:46.779661017
53,Orangetown STP Outfall,-47 days +12:13:05.454545455
54,Ossining Beach,40 days 09:36:00.000000000
55,Peekskill Riverfront Green Park,-44 days +00:36:00.000000000
56,Pier 96 Kayak Launch,-11 days +03:53:30.810810811
57,Piermont Pier,-4 days +23:52:12.972972973
58,Port Ewen Drinking Water Intake,24 days 13:42:51.428571428
59,Poughkeepsie Drinking Water Intake,-51 days +08:40:00.000000000
60,Poughkeepsie Launch Ramp,9 days 17:49:42.857142857
61,Rondout- Eddyville Anchorage,26 days 16:44:39.069767442
62,Rondout- Kingston Public Dock,-11 days +05:50:16.216216217
63,Saw Mill River,-39 days +07:30:00.000000000
64,Stony Point mid-channel,15 days 20:00:00.000000000
65,TZ Bridge mid-channel,-11 days +01:44:43.636363637
66,Tarrytown Marina,-30 days +21:07:12.000000000
67,The Battery mid-channel,-30 days +21:57:26.808510639
68,Tivoli Landing,45 days 01:22:17.142857143
69,Ulster Landing Beach,45 days 13:24:42.352941176
70,Upper Sparkill Creek,2 days 18:59:37.914110429
71,Wappingers Creek,3 days 01:27:16.363636363
72,West Point STP Outfall,-34 days +15:31:45.882352941
73,Yonkers STP Outfall,-36 days +02:26:56.326530612
74,Yonkers mid-channel,14 days 15:21:36.000000000
